,original_Tweets,Currency,len,ID,Date,Source,Likes,RTs
46,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382226903386447875,2021-04-14 06:59:08,Twitter for iPhone,0,178
47,RT @MASTERBTCLTC: If you like litecoin above $250 you gonna love it above $2500,LTC,79,1382226843877605380,2021-04-14 06:58:54,Twitter for iPhone,0,48
48,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382226797320941568,2021-04-14 06:58:43,Twitter Web App,0,21
49,"RT @charliebilello: Returns over last year...
Cardano $ADA: +3,290%
BinanceCoin $BNB: +3,058%
Polkadot $DOT: +1,353%
Ethereum $ETH: +1,171%…",LTC,140,1382226773090435072,2021-04-14 06:58:37,Twitter for Android,0,2245
50,"RT @litecoin: $280!

Am I the only person awake at 4am watching Litecoin? https://t.co/lAXuii7pAx",LTC,97,1382226767751053315,2021-04-14 06:58:36,Twitter Web App,0,172
51,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382226763309277185,2021-04-14 06:58:35,Twitter for iPhone,0,21
52,RT @NorthstarCharts: Crypocurrency 'The Graph' is heading towards my stated next target #Altseason2021  #Crypto #Bitcoin #Litecoin #Ethereu…,LTC,140,1382226712096804866,2021-04-14 06:58:23,Twitter Web App,0,3
53,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382226679746203654,2021-04-14 06:58:15,Twitter for Android,0,178
54,"RT @litecoin: $280!

Am I the only person awake at 4am watching Litecoin? https://t.co/lAXuii7pAx",LTC,97,1382226642190413825,2021-04-14 06:58:06,Twitter for Android,0,172
55,@CantGuardKAT Litecoin👀,LTC,23,1382226629687119873,2021-04-14 06:58:03,Twitter for iPhone,1,0
56,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382226525437693952,2021-04-14 06:57:38,Twitter for Android,0,178
57,Crypocurrency 'The Graph' is heading towards my stated next target #Altseason2021  #Crypto #Bitcoin #Litecoin #Ethereum #LINK #BTC #LTC  #LINK #ETH #XLM #BNB #XRP #XRPCommunity #CVC #GRT #BinanceSmartChain #BinanceCoin https://t.co/RliwzTgqCX,LTC,242,1382226481603096576,2021-04-14 06:57:28,Twitter Web App,14,3
58,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382226469007527936,2021-04-14 06:57:25,Twitter for iPhone,0,21
59,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382226461503975428,2021-04-14 06:57:23,Twitter for Android,0,21
60,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382226388468514816,2021-04-14 06:57:06,Twitter for Android,0,178
61,RT @NorthstarCharts: Ethereum has hit my $2400 target zone. A short pullback would make sense here. The next target is most likely $3000 #A…,LTC,140,1382226328863305730,2021-04-14 06:56:51,Twitter for Android,0,8
62,"RT @litecoin: Whale Alert 
🚨 🚨 🚨 🚨 🚨 🚨  25499453 #LTC ($6,729,188,917 USD) transferred in volume in #Litecoin today #Volumealert",LTC,128,1382226305815609344,2021-04-14 06:56:46,Twitter Web App,0,95
63,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382226267802599425,2021-04-14 06:56:37,Twitter for Android,0,21
64,"RT @litecoin: $280!

Am I the only person awake at 4am watching Litecoin? https://t.co/lAXuii7pAx",LTC,97,1382226266657525763,2021-04-14 06:56:37,Twitter for iPhone,0,172
65,"RT @TheCryptoLark: C'mon #litecoin if $doge can hit a new ATH then you can too, I believe in you buddy!",LTC,103,1382226194280644608,2021-04-14 06:56:19,Twitter for Android,0,62
66,RT @coolnerdco: New post (A ‘physical’ Litecoin ETF is coming to Germany’s Xetra exchange) has been published on CoolNerd - Techno Reviews…,LTC,139,1382226170574348294,2021-04-14 06:56:14,Twitter Web App,0,1
67,"Easy &amp; #FreeLitecoin by visit websites and join telegram channels.
Use this #Telegram bot to collect #FreeCrypto. Fast payout.

REGISTER:
https://t.co/BjNUlv1t8v

1. Signup
2. Collect free #LTC coins
3. Retweet + Like

#FreeMoney #FreeCrypto #Litecoin

#CTBot Adrop Ram 17 TATM 21",LTC,284,1382226111791210497,2021-04-14 06:56:00,Twitter Web App,7,7
68,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382226022712639491,2021-04-14 06:55:38,Twitter for Android,0,21
69,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382225994791145473,2021-04-14 06:55:32,Twitter for iPhone,0,21
70,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382225981004509186,2021-04-14 06:55:29,Twitter for Android,0,21
71,RT @alangaustin: Litecoin demand from institutional investors is only just beginning. Demand will continue to grow as well as new products…,LTC,139,1382225954341224448,2021-04-14 06:55:22,Twitter for Android,0,18
72,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382225945159995394,2021-04-14 06:55:20,Twitter for iPhone,0,178
73,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382225919318712330,2021-04-14 06:55:14,Twitter for iPhone,0,178
74,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382225915833356290,2021-04-14 06:55:13,Twitter for Android,0,178
75,"RT @PB_and_J_LITE: #litecoin up $20 down $10, rinse and repeat. Sir, can you just moon shoot to $300. Pls my fren?",LTC,114,1382225902000480261,2021-04-14 06:55:10,Twitter for Android,0,3
76,@Peachy_Posts @litecoin @mektronik buy one my man it would triple really when they add privaly to network,LTC,105,1382225893909749760,2021-04-14 06:55:08,Twitter Web App,0,0
77,RT @tradertroy888: Remember to unfollow the Bears! They don't belong in Bull Season and will talk you out of being logically greedy in a Bu…,LTC,140,1382225860921462784,2021-04-14 06:55:00,Twitter for iPhone,0,9
78,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382225735297957890,2021-04-14 06:54:30,Twitter Web App,0,21
79,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382225529957445633,2021-04-14 06:53:41,Twitter for Android,0,21
80,"@Redllne1 Okay I’m knew to all this I held large caps for 2 months and didn’t see much gains, I then found shitcoins, I fomoed into that sold my Bitcoin, eth litecoin ada and egld uniswap and chainlink to buy shitcoins then the market switches all shitcoins dipped, and large cap pumped lol",LTC,290,1382225526958424064,2021-04-14 06:53:40,Twitter for iPhone,0,0
81,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382225509032075265,2021-04-14 06:53:36,Twitter for Android,0,178
82,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382225492573622273,2021-04-14 06:53:32,Twitter Web App,0,21
83,"$LTC
Everyone and their mother is shilling it? Yes
Can it run? Also yes

#litecoin #crypto https://t.co/WZiZgABW58",LTC,114,1382225466099179521,2021-04-14 06:53:26,Twitter Web App,0,0
84,New post (A ‘physical’ Litecoin ETF is coming to Germany’s Xetra exchange) has been published on CoolNerd - Techno Reviews Community - https://t.co/wUAwgxVtXu #bitcoin #cryptocurrency #buykalacoin #KALA #dogearmy https://t.co/aEMa8sFtV0,LTC,236,1382225459182587908,2021-04-14 06:53:24,3dprintnerd,0,1
85,New post (A ‘physical’ Litecoin ETF is coming to Germany’s Xetra exchange) has been published on CoolNerd - Techno Reviews Community - https://t.co/wUAwgyd5m4 #bitcoin #cryptocurrency #buykalacoin #KALA #dogearmy https://t.co/at0qoMow2x,LTC,236,1382225437649211400,2021-04-14 06:53:19,3dprintnerd,0,0
86,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382225407869526018,2021-04-14 06:53:12,Twitter for Android,0,178
87,RT @tradertroy888: Remember to unfollow the Bears! They don't belong in Bull Season and will talk you out of being logically greedy in a Bu…,LTC,140,1382225383622287362,2021-04-14 06:53:06,Twitter for Android,0,9
88,RT @Ticket2L: Ticket2Lambo - Brand New Ethereum Based Lottery Project https://t.co/1YSsMgKjss via @YouTube #Ticket2Lambo #T2L #Blockchainlo…,LTC,140,1382225350684413952,2021-04-14 06:52:58,Twitter for Android,0,1689
89,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382225299035803651,2021-04-14 06:52:46,Twitter for iPhone,0,21
90,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382225200301883394,2021-04-14 06:52:22,Twitter for Android,0,21
91,"IF YOU ARE IN #CRYPTO NOW, YOU WILL REMEMBER THIS TIME FOR THE REST OF YOUR LIFE. 
 
#cryptocurrency #dogecoin #Ripple #CardanoADA #Litecoin #altcoins #tether",LTC,158,1382225181939093504,2021-04-14 06:52:18,Twitter for iPhone,3,0
92,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382225161131200521,2021-04-14 06:52:13,Twitter for iPhone,0,178
93,"RT @sentosumosaba: Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showi…",LTC,140,1382225148497981441,2021-04-14 06:52:10,Twitter for iPhone,0,21
94,"@MScottMcCulloug @PeterGilmoreArt @fyzzgiggidy Strange times man, I have to say. Bought a modest amount of Litecoin in Feb ‘19 after meeting the founder dude in Vegas.
Re-installed my wallet last week.  It’s at 720% initial
*shrug",LTC,230,1382225102486470657,2021-04-14 06:51:59,Twitter for iPad,1,0
95,"Yet again, another example of most deplorable reporting on the crypto space by having a feature on Power Lunch and showing Litecoin in the position where #XRP absolutely &amp; truthfully should be with its 24% up on 24hr to 939% gain YoY. 
@SquawkCNBC @CNBCnow @CNBCFastMoney https://t.co/3TzN53cqBT",LTC,299,1382225063403954176,2021-04-14 06:51:50,Twitter Web App,166,21
96,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382225035033710592,2021-04-14 06:51:43,Twitter for iPhone,0,178
97,"@DrAmigoo @litecoin @mektronik No, I don’t have any. But I like to see it do well, for old times sake.",LTC,102,1382224842687057921,2021-04-14 06:50:57,Twitter Web App,1,0
98,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382224782482055169,2021-04-14 06:50:43,Twitter for iPhone,0,178
99,"RT @itsALLrisky: #Dogecoin just surpassed Bitcoin Cash $BCH, Chainlink $LINK, and Stellar $XLM to become a Top Ten Market Cap Cryptocurrenc…",LTC,140,1382224714895081473,2021-04-14 06:50:27,Twitter Web App,0,178
0,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1382218986356494337,2021-04-14 06:27:41,Twitter for Android,0,9
1,@cz_binance @binance So why haven't @binance or @BinanceUS listed @Vertcoin with so large community sir?,VTC,104,1382211833587728384,2021-04-14 05:59:16,Twitter for Android,4,0
2,@cz_binance @binance Please list @Vertcoin We would like to trade #Vertcoin on #Binance,VTC,87,1382211734929281027,2021-04-14 05:58:52,Twitter Web App,2,0
3,Vertcoin oh boy https://t.co/2f4ghNd3m1,VTC,39,1382193619344392193,2021-04-14 04:46:53,Twitter for iPhone,0,0
4,"RT @latitude8848: @vertcoin just hit $8000 on @dextrade_ 

It's a sign people. Get in while it's still cheap. LMAO
Not a financial advice,…",VTC,139,1382184563187744770,2021-04-14 04:10:54,Twitter Web App,0,1
5,RT @MikeXG2: @brian_armstrong @coinbase @pmarca @FEhrsam @emiliemc I would like to know if you got acquainted already with #Vertcoin's just…,VTC,140,1382174437743689737,2021-04-14 03:30:40,Twitter for iPhone,0,2
6,RT @MikeXG2: @brian_armstrong @coinbase @pmarca @FEhrsam @emiliemc I would like to know if you got acquainted already with #Vertcoin's just…,VTC,140,1382142609993437186,2021-04-14 01:24:11,Twitter Web App,0,2
7,@Canen01 @buntythehw @Vertcoin @YobitExchange @YobitExchange are scammer,VTC,72,1382139315749326854,2021-04-14 01:11:06,Twitter Web App,0,1
8,Tired of looking for a reliable Crypto Mining seller? Your research is over! https://t.co/JGg2PejEQh,VTC,100,1382134525728321537,2021-04-14 00:52:04,IFTTT,1,0
9,"RT @MikeXG2: I can't wait for this day to happen!

Vertcoin will shock the #cryptoworld as it will, out of nowhere, become one of the most…",VTC,139,1382110282697281536,2021-04-13 23:15:44,Twitter for Android,0,5
10,"RT @Reza_etc8: keep your #Vertcoin 💚 wallet safe, it is going to land on the moon after halving in December 2021. 
With patience, nothing i…",VTC,140,1382109422730743813,2021-04-13 23:12:19,Twitter for iPhone,0,2
11,@crypto_bitlord7 @PepeDaPump @ThisIsNuse I am ready brother. Love Vertcoin,VTC,74,1382101524533239814,2021-04-13 22:40:56,Twitter for iPhone,0,0
12,"@brian_armstrong @coinbase @pmarca @FEhrsam @emiliemc I would like to know if you got acquainted already with #Vertcoin's just-recently released #Verthash mining algo and super exclusive submarine swaps with #Bitcoin?

@brian_armstrong , @coinbase https://t.co/oR4adfgl6U",VTC,271,1382094961617801216,2021-04-13 22:14:51,Twitter Web App,8,2
13,"@vertcoin just hit $8000 on @dextrade_ 

It's a sign people. Get in while it's still cheap. LMAO
Not a financial advice, DOYR

#vertcoin $vtc #truepeoplescoin #cryptocurrencies #crypto #cryptotwitter https://t.co/pKJBMoLJpy",VTC,223,1382065943589818370,2021-04-13 20:19:33,Twitter Web App,14,1
14,"RT @MikeXG2: I can't wait for this day to happen!

Vertcoin will shock the #cryptoworld as it will, out of nowhere, become one of the most…",VTC,139,1382044616292196358,2021-04-13 18:54:48,Twitter for Android,0,5
15,"RT @blurdotnet: Talking with a coworker, he’s dropping $5000 on #Vertcoin tonight..",VTC,83,1382043723790479361,2021-04-13 18:51:15,Twitter Web App,0,1
16,"Talking with a coworker, he’s dropping $5000 on #Vertcoin tonight..",VTC,67,1382039641528803330,2021-04-13 18:35:02,Twitter for iPhone,20,1
17,"I can't wait for this day to happen!

Vertcoin will shock the #cryptoworld as it will, out of nowhere, become one of the most profitable #Coins !!!

The #Altseason2021 is here folks. Get ready!

https://t.co/2GEtjUO4r4",VTC,218,1382033808690675713,2021-04-13 18:11:51,Twitter Web App,17,5
18,@MikeBTCingham I’m at a loss for words. Why ppl not know #Vertcoin,VTC,66,1382032407667249156,2021-04-13 18:06:17,Twitter for iPhone,8,0
19,RT @MikeBTCingham: On a day when #Bitcoin is ripping to new #ATH our friend #Vertcoin is only down 13 #sats  This is bullish.  $VTC,VTC,131,1382026574770413576,2021-04-13 17:43:06,Twitter Web App,0,1
20,On a day when #Bitcoin is ripping to new #ATH our friend #Vertcoin is only down 13 #sats  This is bullish.  $VTC,VTC,112,1382019289499246596,2021-04-13 17:14:09,Twitter Web App,23,1
21,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1382010740874354692,2021-04-13 16:40:11,Twitter Web App,0,9
22,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1382009775421059072,2021-04-13 16:36:21,Twitter Web App,0,9
23,"@vertababy @elonmusk I bet we can #mine #vertcoin on a #Tesla. It would be epic if that's possible. Pay your car loan with $vtc mined using your car. 

Can someone who owns a #Tesla try this?",VTC,191,1381996884840083456,2021-04-13 15:45:08,Twitter Web App,4,0
24,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1381996193627054091,2021-04-13 15:42:23,Twitter Web App,0,9
25,"RT @Reza_etc8: keep your #Vertcoin 💚 wallet safe, it is going to land on the moon after halving in December 2021. 
With patience, nothing i…",VTC,140,1381996096642195456,2021-04-13 15:42:00,Twitter Web App,0,2
26,"RT @MegaChunkyBuns: @CryptoMichNL I’ve always loved POW coins. Vertcoin $VTC peaked at 90,000+ sats last run and is at about 1100 right now…",VTC,140,1381995759311069187,2021-04-13 15:40:39,Twitter Web App,0,4
27,RT @re_vres: @_bil____ @coinbase @CoinbasePro @Vertcoin $VTC #VTC will be on upswing like your punching the ceiling #ToTitan🚀🚀,VTC,126,1381991955996012544,2021-04-13 15:25:33,Twitter Web App,0,1
28,"RT @MegaChunkyBuns: @CryptoMichNL I’ve always loved POW coins. Vertcoin $VTC peaked at 90,000+ sats last run and is at about 1100 right now…",VTC,140,1381991847963267081,2021-04-13 15:25:07,Twitter Web App,0,4
29,"RT @vertababy: @re_vres @elonmusk I told my father to wait with the purchase of a car. I will ask other car manufacturers, if someone answe…",VTC,140,1381990527260839938,2021-04-13 15:19:52,Twitter Web App,0,2
30,"@ThisIsNuse You never forget your first love. 
#Vertcoin $vtc #truepeoplescoin #oneclickminer #verthash #submarineswap #lightningnetwork #Bitcoin #Litecoin #DGB #Binance #BNB",VTC,174,1381989672855953416,2021-04-13 15:16:28,Twitter Web App,7,0
31,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1381978158736494595,2021-04-13 14:30:43,Twitter for iPhone,0,9
32,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1381971958816894981,2021-04-13 14:06:05,Twitter for iPhone,0,9
33,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1381970880750780417,2021-04-13 14:01:48,Twitter for iPhone,0,9
34,"@coin_artist Myriadcoin, Vertcoin... the bags still haunt me",VTC,60,1381966608126578688,2021-04-13 13:44:49,Twitter Web App,3,0
35,"RT @vertababy: @re_vres @elonmusk I told my father to wait with the purchase of a car. I will ask other car manufacturers, if someone answe…",VTC,140,1381960876807307264,2021-04-13 13:22:03,Twitter for iPhone,0,2
36,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1381960064127361024,2021-04-13 13:18:49,Twitter for iPhone,0,9
37,"RT @latitude8848: Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocur…",VTC,140,1381957795067617286,2021-04-13 13:09:48,Twitter Web App,0,9
38,VTC bullish pattern for BITTREX:VTCUSD by amazedEnthusia46551 #Vertcoin #Shootforthemoon #crypto $VTC https://t.co/yx3qtuA9Y1 https://t.co/VylDOvzNiu,VTC,149,1381957622056812546,2021-04-13 13:09:07,bitcoinagile,7,0
39,"Day 11 of tweeting @binance until they list #Vertcoin
@Vertcoin @BinanceUS @cz_binance

#cryptotwitter #crypot #cryptocurrency #Bitcoin $BTC #Vertcoin $vtc #Binance #BinanceSmartChain #BSC #truepeoplescoin #submarineswap #oneclickminer #verthash https://t.co/euQPGNo55L",VTC,269,1381957602360360960,2021-04-13 13:09:02,Twitter Web App,26,9
40,Lets go #Vertcoin https://t.co/NG6MnXlblk $VTC ready for take off! #Shootforthemoon #crypto,VTC,91,1381957592738635782,2021-04-13 13:09:00,Twitter Web App,10,1
41,"Hello, If my father buy a @MercedesBenz or @Tesla or @BMW or @Kia or @VW or @Peugeot or @Porsche or @Honda or @PolestarCars or @Hyundai_Global or @AudiOfficial , will I be able to install #Vertcoin One click miner? Could you try this https://t.co/hQMgqP5UZB on your prototype cars",VTC,280,1381949985814687747,2021-04-13 12:38:46,Twitter Web App,4,0
42,"@re_vres @elonmusk I told my father to wait with the purchase of a car. I will ask other car manufacturers, if someone answers that he can do it it will be great. I will quickly helped my father to choose a new car. #Vertcoin One Click miner is the best mining software.",VTC,270,1381947996301058054,2021-04-13 12:30:52,Twitter Web App,2,2
43,"Day 7 of tweeting @exodus_io

 until they list VTC on their wallet.
#Vertcoin #ToTitan #ThePeoplesCoin",VTC,102,1381945824452751364,2021-04-13 12:22:14,Twitter Web App,8,0
44,"RT @MegaChunkyBuns: @CryptoMichNL I’ve always loved POW coins. Vertcoin $VTC peaked at 90,000+ sats last run and is at about 1100 right now…",VTC,140,1381939075331067906,2021-04-13 11:55:25,Twitter for iPhone,0,4
45,"@vertcoin, Please contact @coinstats_ to join #coinstatsupdates",VTC,63,1381937345520410624,2021-04-13 11:48:32,Twitter for Android,1,0
46,"keep your #Vertcoin 💚 wallet safe, it is going to land on the moon after halving in December 2021. 
With patience, nothing is impossible.
@binance 
@coinbase 
@Vertcoin 
$VTC",VTC,174,1381933349393031168,2021-04-13 11:32:40,Twitter Web App,8,2
47,"RT @LennyLuo3: Day 7 of tweeting @exodus_io

 until they list VTC on their wallet.
#Vertcoin #ToTitan #ThePeoplesCoin",VTC,117,1381919131033862146,2021-04-13 10:36:10,Twitter for iPhone,0,4
48,Multiple addresses with coins on vertcoin core how can i merge addresses to one? https://t.co/Xsyg4c671k,VTC,104,1381908157266550785,2021-04-13 09:52:33,IFTTT,1,0
49,Price go up now https://t.co/rkiz47ff9a,VTC,39,1381832673069559812,2021-04-13 04:52:37,IFTTT,1,0
50,I have a OCM wallet question l... https://t.co/qryfY23w7w,VTC,57,1381832668325810176,2021-04-13 04:52:35,IFTTT,1,0
51,"RT @MegaChunkyBuns: @CryptoMichNL I’ve always loved POW coins. Vertcoin $VTC peaked at 90,000+ sats last run and is at about 1100 right now…",VTC,140,1381805879859744775,2021-04-13 03:06:09,Twitter Web App,0,4
52,2x3070 &amp; 1x1650 super OC settings https://t.co/PQxM4eOYDb,VTC,61,1381802450382942208,2021-04-13 02:52:31,IFTTT,1,0
53,1650 super https://t.co/BfIVe071X6,VTC,34,1381802447962783746,2021-04-13 02:52:30,IFTTT,1,0
54,@Perdiris1 @mir_btc Mine #vertcoin with GPU. Convert Vertcoin to $btc within the One Click Miner. No registration to any exchange needed.,VTC,137,1381800232057442304,2021-04-13 02:43:42,Twitter for iPhone,6,0
55,"RT @LennyLuo3: Day 7 of tweeting @exodus_io

 until they list VTC on their wallet.
#Vertcoin #ToTitan #ThePeoplesCoin",VTC,117,1381796234478944256,2021-04-13 02:27:49,Twitter for iPhone,0,4
56,"@Poloniex Let me give you a hint it looks like your Twitter verified checkmark, 

 but it’s green not blue

✅ #Vertcoin",VTC,119,1381788933701296128,2021-04-13 01:58:48,Twitter for iPhone,5,0
57,"RT @latitude8848: Day 10 of tweeting @binance until they list #Vertcoin
@Vertcoin @cz_binance
 
#cryptotwitter #crypot #cryptocurrency #Bit…",VTC,140,1381772007365304326,2021-04-13 00:51:33,Twitter for iPhone,0,7
58,"RT @LennyLuo3: Day 7 of tweeting @exodus_io

 until they list VTC on their wallet.
#Vertcoin #ToTitan #ThePeoplesCoin",VTC,117,1381760392175755271,2021-04-13 00:05:24,Twitter Web App,0,4
59,What Overclock settings do you guys use for the 1080 ? https://t.co/ZpGUvOFIMb,VTC,78,1381741999276048384,2021-04-12 22:52:18,IFTTT,1,0
60,"@Cryptos991 @Canen01 @Vertcoin @YobitExchange @binance @cz_binance @BinanceUS Are you metioning me ? When u say screen shot ? My VTC are on yobit ,, not on binance",VTC,163,1381721670507884544,2021-04-12 21:31:32,Twitter for iPhone,0,0
61,Hashrate for 3060? https://t.co/aKAk1AFKmB,VTC,42,1381711949302538240,2021-04-12 20:52:54,IFTTT,0,0
62,RT @Ilgrandelorenz1: #Vertcoin community. What color is the lambo going to be ? 🚀🚀😂,VTC,83,1381674188667289609,2021-04-12 18:22:51,Twitter for iPhone,0,1
63,"RT @latitude8848: Day 10 of tweeting @binance until they list #Vertcoin
@Vertcoin @cz_binance
 
#cryptotwitter #crypot #cryptocurrency #Bit…",VTC,140,1381674136699822080,2021-04-12 18:22:39,Twitter for iPhone,0,7
64,RT @Vertcoin: @Breedlove22 Might want to redo your research to include projects from the 2014 time frame.  $vtc #Vertcoin $dgb #DigiByte ht…,VTC,140,1381670941227368453,2021-04-12 18:09:57,Twitter for iPhone,0,4
65,"@CryptoMichNL I’ve always loved POW coins. Vertcoin $VTC peaked at 90,000+ sats last run and is at about 1100 right now. 10x in BTC seems very achievable; 10x USD seems even simpler. Fixed supply, GPU mining, etc etc",VTC,216,1381664616116326409,2021-04-12 17:44:49,Twitter for iPhone,16,4
66,"RT @latitude8848: Day 10 of tweeting @binance until they list #Vertcoin
@Vertcoin @cz_binance
 
#cryptotwitter #crypot #cryptocurrency #Bit…",VTC,140,1381639758527524875,2021-04-12 16:06:02,Twitter for iPhone,0,7
67,"RT @latitude8848: Day 10 of tweeting @binance until they list #Vertcoin
@Vertcoin @cz_binance
 
#cryptotwitter #crypot #cryptocurrency #Bit…",VTC,140,1381637798831198214,2021-04-12 15:58:15,Twitter for iPhone,0,7
68,"RT @LennyLuo3: Day 7 of tweeting @exodus_io

 until they list VTC on their wallet.
#Vertcoin #ToTitan #ThePeoplesCoin",VTC,117,1381631267213606917,2021-04-12 15:32:18,Twitter Web App,0,4
69,"RT @latitude8848: Day 10 of tweeting @binance until they list #Vertcoin
@Vertcoin @cz_binance
 
#cryptotwitter #crypot #cryptocurrency #Bit…",VTC,140,1381631249484279810,2021-04-12 15:32:14,Twitter Web App,0,7
70,Hello Vertcoin developers :) Can we? https://t.co/qvRzyUierg,VTC,60,1381621356312342531,2021-04-12 14:52:55,IFTTT,1,0
71,"RT @latitude8848: Day 10 of tweeting @binance until they list #Vertcoin
@Vertcoin @cz_binance
 
#cryptotwitter #crypot #cryptocurrency #Bit…",VTC,140,1381613976811868166,2021-04-12 14:23:35,Twitter for iPhone,0,7
72,"RT @Reza_etc7: Time to #giveaway  $50 in #Vertcoin 💚🌎

For a chance to win $50 in $VTC please:

1. Retweet or comment here using #Vertcoin…",VTC,139,1381612797126139904,2021-04-12 14:18:54,Twitter Web App,0,15
73,"@Canen01 @Vertcoin @buntythehw @YobitExchange @binance @cz_binance @BinanceUS Also, maybe its a good idea to keep knocking on their doors, that way they get a sense of urgency, instead of passively waiting for a miracle to happen. Shareholders are waiting for so long ,its fair that proactive action is being taken.",VTC,315,1381609324687073280,2021-04-12 14:05:06,Twitter for Android,2,0
